panel,metric,covariate,group,n,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,delta_tau_vs_full,permutation_pvalue,fdr_qvalue
P0,F1_Frobenius,lattice_match_quality,mid_match,191,0.274486028086012,0.17526999967861784,0.36819294871904573,0.02913697439121682,0.4818,0.1386
P0,F1_Frobenius,lattice_match_quality,loose_match,191,0.29789932363951593,0.1894994701550839,0.40250278529048655,0.05255026994472073,0.1804,0.1386
P0,F1_Frobenius,heavy_atom_fraction,low_heavy,192,0.27245949966894933,0.13621765098195393,0.3905083322286326,0.02711044597415413,0.3832,0.1596
P0,F1_Frobenius,heavy_atom_fraction,mid_heavy,200,0.2833593003970448,0.18161288818656576,0.3702569458758835,0.03801024670224962,0.3648,0.1596
P0,F1_Frobenius,heavy_atom_fraction,high_heavy,181,0.16588899834800888,0.010029452340160297,0.2996858760739726,-0.07946005534678632,0.0532,0.1596
P0,F3_Longitudinal,crystal_system,orthorhombic,117,0.34841562648127233,0.23294966888022825,0.45678676631710985,0.07984217600808718,0.1642,0.3284
P0,F3_Longitudinal,crystal_system,tetragonal,85,0.38900210026626264,0.22855579710126447,0.5362280510939378,0.12042864979307749,0.0784,0.3284
P0,F3_Longitudinal,crystal_system,cubic,50,0.24989793835051285,0.040721556653854296,0.4543055110403237,-0.018675512122672294,0.9442,0.3284
P0,F3_Longitudinal,crystal_system,hexagonal,161,0.20294055850456238,0.05878277447352002,0.33134158123461055,-0.06563289196862276,0.1186,0.3284
P0,F3_Longitudinal,crystal_system,monoclinic,59,0.23866628689761285,0.06528702551819783,0.4066791044646529,-0.0299071635755723,0.6962,0.3284
P0,F3_Longitudinal,crystal_system,trigonal,83,0.20343967875493701,-0.01782684330137075,0.39540575698231745,-0.06513377171824813,0.3668,0.3284
P0,F3_Longitudinal,anion_group,selenide,38,0.15110512092447323,-0.08912425500298805,0.39735991966665146,-0.11746832954871192,0.2746,0.0252
P0,F3_Longitudinal,anion_group,other,61,0.10658650302404414,-0.1253167336512194,0.3460462508360704,-0.161986947449141,0.0454,0.0252
P0,F3_Longitudinal,anion_group,halide,65,0.24284684520205374,0.054442806716275514,0.4177843891713616,-0.02572660527113141,0.8278,0.0252
P0,F3_Longitudinal,anion_group,oxide,182,0.3193487796564519,0.20230741793920315,0.4246761204159811,0.05077532918326677,0.3318,0.0252
P0,F3_Longitudinal,anion_group,nitride,42,0.2556653540256509,-0.02237414975314661,0.5000251013714562,-0.012908096447534267,0.8758,0.0252
P0,F3_Longitudinal,anion_group,sulfide,62,0.028571428571428574,-0.25903378684203515,0.3012705671161564,-0.24000202190175657,0.0036,0.0252
P0,F3_Longitudinal,anion_group,halide_oxide,33,0.3734598834078153,0.12187863449225841,0.5914959872509286,0.10488643293463012,0.3998,0.0252
P0,F3_Longitudinal,response_magnitude_quartile,Q1_low,196,0.16385949720615325,0.062293754942358996,0.2591343604288266,-0.1047139532670319,0.3328,0.0008
P0,F3_Longitudinal,response_magnitude_quartile,Q2,188,0.08301092412161386,-0.010669338758731429,0.17997776271274316,-0.18556252635157128,0.0004,0.0008
P0,F3_Longitudinal,response_magnitude_quartile,Q3,90,0.10340952393118608,-0.04493690397677198,0.2448931259901557,-0.16516392654199907,0.0334,0.0008
P0,F3_Longitudinal,response_magnitude_quartile,Q4_high,99,-0.04659313497592623,-0.17338594937583657,0.08827060599571944,-0.31516658544911136,0.0002,0.0008
P0,F3_Longitudinal,rms_match_quality,best_match,191,0.21837076204358571,0.07279021026901107,0.35276789648001544,-0.050202688429599435,0.2306,0.3573
P0,F3_Longitudinal,rms_match_quality,mid_match,191,0.2577496631683194,0.1545235620308767,0.35453974599560845,-0.010823787304865773,0.8288,0.3573
P0,F3_Longitudinal,rms_match_quality,loose_match,191,0.31010413489399075,0.2003829159543777,0.4137940720352611,0.0415306844208056,0.2382,0.3573
P0,F3_Longitudinal,lattice_match_quality,best_match,191,0.212170797745644,0.08031597892391418,0.34483762915401284,-0.056402652727541136,0.1312,0.25470000000000004
P0,F3_Longitudinal,lattice_match_quality,mid_match,191,0.2746553708408253,0.17156870712108468,0.3656294157881438,0.006081920367640159,0.8448,0.25470000000000004
P0,F3_Longitudinal,lattice_match_quality,loose_match,191,0.32368189280451015,0.2218626232617678,0.419908949936232,0.055108442331325,0.1698,0.25470000000000004
P0,F3_Longitudinal,heavy_atom_fraction,low_heavy,192,0.31721592753370814,0.18191582441433948,0.42973681995603213,0.04864247706052299,0.1786,0.038400000000000004
P0,F3_Longitudinal,heavy_atom_fraction,mid_heavy,200,0.3232787802125663,0.22530726440031032,0.4081510491189468,0.05470532973938114,0.2334,0.038400000000000004
P0,F3_Longitudinal,heavy_atom_fraction,high_heavy,181,0.16940410969236502,0.011879952446481773,0.2971585259558959,-0.09916934078082013,0.0128,0.038400000000000004
P0,F4_KelvinOp,crystal_system,orthorhombic,117,0.3251289644744868,0.20166307194991262,0.4405834330661321,0.0698692833993228,0.236,0.4356
P0,F4_KelvinOp,crystal_system,tetragonal,85,0.3325395746309493,0.1663975040297192,0.4788434976852319,0.0772798935557853,0.253,0.4356
