q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,attribute
36.0,206,573,198,0.9252336448598131,0.21947416273996465,0.9042102752131213,4.471735393251823e-132,4.215683674602007,9.80841121495327,6.25,,,P0,band_gap
37.0,212,573,204,0.9272727272727272,0.22730149363603225,0.9058788490875952,1.7822297595039646e-133,4.079483651601198,9.818181818181818,6.5,,,P0,band_gap
38.0,217,573,211,0.9461883408071748,0.23390149173608848,0.9297588252524207,8.58753105579857e-141,4.045242866064151,11.139013452914797,6.5,,,P0,band_gap
39.0,223,573,217,0.9475982532751092,0.24191586374086366,0.9308760806109542,5.385386735816509e-142,3.917057106640022,10.973799126637555,6.5,,,P0,band_gap
40.0,229,573,225,0.9656652360515021,0.25003509898592313,0.9542181722076972,6.767781698725193e-150,3.8621187184038854,10.987124463519313,6.5,,,P0,band_gap
41.0,234,573,227,0.941908713692946,0.256882726086866,0.9218275656530567,1.0149364425353258e-140,3.666687628402213,10.983402489626556,7.0,,,P0,band_gap
42.0,240,573,233,0.9433198380566802,0.26519963409964514,0.9228631822006931,1.323290063652491e-141,3.557017871684697,11.016194331983806,7.0,,,P0,band_gap
43.0,246,573,239,0.9446640316205533,0.2736274229346693,0.9238187534515505,2.217251985253062e-142,3.4523733823495437,10.956521739130435,7.0,,,P0,band_gap
44.0,252,573,246,0.9534883720930233,0.28216832632827377,0.9352053836394977,3.013898670205078e-146,3.3791474206206185,10.89922480620155,7.0,,,P0,band_gap
45.0,257,573,253,0.9693486590038314,0.28937380606327734,0.9568671387887259,1.465651985433276e-153,3.349814802490672,10.812260536398467,7.0,,,P0,band_gap
46.0,263,573,259,0.9700374531835206,0.2981280897313316,0.9573105200847688,4.901125520305438e-154,3.253760670648993,10.925093632958802,7.0,,,P0,band_gap
47.0,269,573,263,0.9563636363636364,0.3070021521112328,0.9370324687597475,1.4662070108301333e-147,3.115169160172947,11.121818181818181,7.0,,,P0,band_gap
48.0,275,573,268,0.950354609929078,0.3159984701785904,0.9274191826970267,1.2981066572289426e-144,3.007465857008654,11.27127659574468,7.0,,,P0,band_gap
49.0,280,573,271,0.9377162629757786,0.32359062621322854,0.9079200563476291,1.1167124097083391e-138,2.897847425153394,11.610726643598616,7.0,,,P0,band_gap
50.0,286,573,276,0.9324324324324325,0.33281774305900164,0.8987269717312899,7.465752261030525e-136,2.8016307780415772,11.787162162162161,7.0,,,P0,band_gap
1.0,5,573,3,0.42857142857142855,0.0048647682070274215,0.4257779715034236,3.189145325421958e-06,88.09698845514035,5.142857142857143,2.0,,,P0,energy_above_hull
2.0,11,573,8,0.5714285714285714,0.010144239897062002,0.5670364856725588,9.781227236042413e-14,56.330348772022816,5.428571428571429,4.0,,,P0,energy_above_hull
3.0,17,573,13,0.6190476190476191,0.015500234329753358,0.613049800277983,5.487675476308424e-20,39.93795228368457,53.523809523809526,6.0,,,P0,energy_above_hull
4.0,22,573,17,0.6296296296296297,0.02001050598232266,0.6220669990532679,3.8812525201019755e-24,31.464952969497443,58.2962962962963,6.0,,,P0,energy_above_hull
5.0,28,573,23,0.696969696969697,0.025477572909264095,0.6890473788941458,1.36495373783024e-31,27.35620459028366,64.66666666666667,6.0,,,P0,energy_above_hull
6.0,34,573,26,0.6190476190476191,0.031004428935034415,0.6068584910726694,4.093828987006944e-31,19.96642545311025,83.4047619047619,6.5,,,P0,energy_above_hull
7.0,40,573,30,0.6,0.03659167305736104,0.5848074084335625,6.197868206658375e-33,16.39717317815562,71.44,6.0,,,P0,energy_above_hull
8.0,45,573,35,0.6363636363636364,0.041294420937402626,0.6207006910380977,7.360442301401974e-38,15.410402226690309,72.46363636363637,6.0,,,P0,energy_above_hull
