panel,metric,strategy,budget_factor,target_k,budget,holdout_n,disagreement_lambda,worst_source_recall,worst_source_ndcg,worst_source_normalized_utility,minimax_recall_regret,minimax_ndcg_regret,portfolio_size,portfolio_coverage,worst_source_recall_ci95_low,worst_source_recall_ci95_high,worst_source_ndcg_ci95_low,worst_source_ndcg_ci95_high,worst_source_normalized_utility_ci95_low,worst_source_normalized_utility_ci95_high,minimax_recall_regret_ci95_low,minimax_recall_regret_ci95_high,minimax_ndcg_regret_ci95_low,minimax_ndcg_regret_ci95_high,portfolio_coverage_ci95_low,portfolio_coverage_ci95_high,pareto_efficient
P0,F3_Longitudinal,average_percentile,2.0,11,22,113,,0.5454545454545454,0.9046959001567226,0.5454545454545454,0.4545454545454546,0.09530409984327737,22,0.19469026548672566,0.2727272727272727,0.8181818181818182,0.8468164876686054,0.9315466904425298,0.2727272727272727,0.8181818181818182,0.18181818181818177,0.7272727272727273,0.0684533095574702,0.15318351233139446,0.1896551724137931,0.1981981981981982,False
P0,F3_Longitudinal,borda_count,2.0,11,22,113,,0.5454545454545454,0.9046959001567226,0.5454545454545454,0.4545454545454546,0.09530409984327737,22,0.19469026548672566,0.2727272727272727,0.8181818181818182,0.8458535989110288,0.9315466904425298,0.2727272727272727,0.8181818181818182,0.18181818181818177,0.7272727272727273,0.0684533095574702,0.1541464010889711,0.1896551724137931,0.1981981981981982,False
P0,F3_Longitudinal,maximin_percentile,2.0,11,22,113,,0.45454545454545453,0.9027632667985855,0.45454545454545453,0.5454545454545454,0.09723673320141446,22,0.19469026548672566,0.18181818181818182,0.7272727272727273,0.8342232048333662,0.9263164415241905,0.18181818181818182,0.7272727272727273,0.2727272727272727,0.8181818181818181,0.07368355847580957,0.16577679516663377,0.1896551724137931,0.1981981981981982,False
P0,F3_Longitudinal,intersection_first,2.0,11,22,113,,0.5454545454545454,0.9046959001567226,0.5454545454545454,0.4545454545454546,0.09530409984327737,22,0.19469026548672566,0.2727272727272727,0.8181818181818182,0.8468164876686054,0.9315466904425298,0.2727272727272727,0.8181818181818182,0.18181818181818177,0.7272727272727273,0.0684533095574702,0.15318351233139446,0.1896551724137931,0.1981981981981982,False
P0,F3_Longitudinal,balanced_union,2.0,11,22,113,,1.0,0.8370794154564318,1.0,0.0,0.16292058454356817,22,0.19469026548672566,1.0,1.0,0.7790016837760969,0.9086943600593073,1.0,1.0,0.0,0.0,0.09130563994069277,0.2209983162239031,0.1896551724137931,0.1981981981981982,True
P0,F3_Longitudinal,disagreement_abstention,2.0,11,22,113,0.0,0.5454545454545454,0.9046959001567226,0.5454545454545454,0.4545454545454546,0.09530409984327737,22,0.19469026548672566,0.2727272727272727,0.8181818181818182,0.8468164876686054,0.9315466904425298,0.2727272727272727,0.8181818181818182,0.18181818181818177,0.7272727272727273,0.0684533095574702,0.15318351233139446,0.1896551724137931,0.1981981981981982,False
P0,F3_Longitudinal,minimax_oracle,2.0,11,22,113,,0.6363636363636364,0.9015641154515408,0.6363636363636364,0.36363636363636365,0.0984358845484592,22,0.19469026548672566,0.5454545454545454,0.9090909090909091,0.8360874935549912,0.9285426524092905,0.5454545454545454,0.9090909090909091,0.09090909090909094,0.4545454545454546,0.07145734759070953,0.1639125064450087,0.1896551724137931,0.1981981981981982,False
P0,F4_KelvinOp,jarvis_only,1.0,11,11,113,,0.18181818181818182,0.6797810550625117,0.18181818181818182,0.8181818181818181,0.32021894493748826,11,0.09734513274336283,0.0,0.36363636363636365,0.44341817038293985,0.8247869094983244,0.0,0.36363636363636365,0.6363636363636364,1.0,0.17521309050167547,0.5565818296170599,0.09482758620689655,0.0990990990990991,False
P0,F4_KelvinOp,mp_only,1.0,11,11,113,,0.18181818181818182,0.6618764118028331,0.18181818181818182,0.8181818181818181,0.3381235881971669,11,0.09734513274336283,0.0,0.36363636363636365,0.5257951470754237,0.8179658865408358,0.0,0.36363636363636365,0.6363636363636364,1.0,0.18203411345916412,0.4742048529245762,0.09482758620689655,0.0990990990990991,False
P0,F4_KelvinOp,average_percentile,1.0,11,11,113,,0.45454545454545453,0.8995051451756069,0.45454545454545453,0.5454545454545454,0.10049485482439313,11,0.09734513274336283,0.18181818181818182,0.5454545454545454,0.8415441576076027,0.9406867413862554,0.18181818181818182,0.5454545454545454,0.4545454545454546,0.8181818181818181,0.05931325861374456,0.15845584239239724,0.09482758620689655,0.0990990990990991,False
