q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
45.0,257,573,153,0.42382271468144045,0.28937380606327734,0.1891977945160505,1.3500761486465633e-10,1.4646201757071378,182.59141274238226,156.0,0.04758812321198705,0.330807465820114,P0,F1_Frobenius
46.0,263,573,159,0.4332425068119891,0.2981280897313316,0.19250580498219014,8.381022067113559e-11,1.4532092806230388,181.2493188010899,151.0,0.05117094478055623,0.33384066518382405,P0,F1_Frobenius
47.0,269,573,165,0.44235924932975873,0.3070021521112328,0.1953210931763991,5.7853766402989775e-11,1.4408995060382621,180.82171581769438,150.0,0.05355361718950477,0.33708856916329344,P0,F1_Frobenius
48.0,275,573,168,0.4397905759162304,0.3159984701785904,0.1809822059461792,1.1572402951212976e-09,1.3917490665941432,179.1740837696335,147.25,0.03815783341392773,0.32380657847843064,P0,F1_Frobenius
49.0,280,573,171,0.43958868894601544,0.32359062621322854,0.17149091545463066,7.766510164568468e-09,1.358471640820493,177.83676092544988,147.0,0.02913253798082488,0.31384929292843644,P0,F1_Frobenius
50.0,286,573,178,0.4517766497461929,0.33281774305900164,0.17830046505225228,2.6898967966153736e-09,1.3574295817098379,177.2043147208122,146.75,0.03784658321187456,0.31875434689263,P0,F1_Frobenius
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,1.0,0.0,346.5,419.5,-0.004888549872494972,-0.004888549865522313,P0,F3_Longitudinal
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,1.0,0.0,248.8181818181818,208.25,-0.010248200100849073,-0.010248200093876414,P0,F3_Longitudinal
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,1.0,0.0,219.5,180.0,-0.015744274273781163,-0.015744274266808505,P0,F3_Longitudinal
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,1.0,0.0,219.9090909090909,180.0,-0.04414977935980871,0.0033115742474553247,P0,F3_Longitudinal
5.0,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,0.7625610938212595,0.7136401197465302,222.07272727272726,190.0,-0.06942625010003078,0.054453265334095544,P0,F3_Longitudinal
6.0,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,0.61515108602871,0.9773774697326696,218.84848484848484,190.0,-0.08545265618172752,0.0840049743698628,P0,F3_Longitudinal
7.0,40,573,3,0.03896103896103896,0.03659167305736104,0.0024593579247929767,0.5420758462727502,1.0647515050750402,213.5974025974026,190.0,-0.09156790343117864,0.09648661928076459,P0,F3_Longitudinal
