q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,adj_jaccard_ci95_low,adj_jaccard_ci95_high,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,panel,metric
37,212,573,111,0.3546325878594249,0.22730149363603225,0.16478755060957154,0.10513779467177009,0.2346793459863437,5.25196761060614e-09,1.5601859107326512,182.17252396166134,158.0,P0,F3_Longitudinal
38,217,573,118,0.37341772151898733,0.23390149173608848,0.18211265036798271,0.11639324985094927,0.2346686334506442,1.991915544285599e-10,1.5964743052614443,182.08860759493672,158.5,P0,F3_Longitudinal
39,223,573,123,0.38080495356037153,0.24191586374086366,0.18321065324605515,0.10754251257644638,0.24140363226398798,1.8225158785578445e-10,1.5741214638502732,181.67801857585138,158.0,P0,F3_Longitudinal
40,229,573,128,0.3878787878787879,0.25003509898592313,0.18380018679071145,0.11886714624010274,0.24163117603109732,1.862599477965283e-10,1.551297355658956,180.27575757575758,156.5,P0,F3_Longitudinal
41,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,0.12841547321207686,0.2584163890722748,2.4808961084997284e-10,1.5293248745900356,178.19345238095238,156.0,P0,F3_Longitudinal
42,240,573,139,0.40762463343108507,0.26519963409964514,0.19382815515738866,0.13383247925160338,0.26385143770615704,3.213261673114365e-11,1.5370482497646496,177.33724340175954,156.0,P0,F3_Longitudinal
43,246,573,143,0.40974212034383956,0.2736274229346693,0.18738964232253494,0.1279571973951819,0.2624800238485559,1.4091512302371646e-10,1.497445380106031,175.69627507163324,154.0,P0,F3_Longitudinal
44,252,573,150,0.423728813559322,0.28216832632827377,0.19720568543174327,0.14271738353797025,0.2669482729597165,2.274465751521683e-11,1.5016880848148677,174.88983050847457,153.5,P0,F3_Longitudinal
45,257,573,156,0.43575418994413406,0.28937380606327734,0.20598788101229362,0.1403294345823742,0.2641953008816002,4.240283930886864e-12,1.5058522257845541,173.9217877094972,152.5,P0,F3_Longitudinal
46,263,573,163,0.4490358126721763,0.2981280897313316,0.21500749742653041,0.14362746108879926,0.26183113977044437,7.534444006211157e-13,1.5061841810238021,174.08126721763085,154.0,P0,F3_Longitudinal
47,269,573,167,0.4501347708894879,0.3070021521112328,0.20654121685126683,0.15148521144136953,0.270480338292909,5.741512093203811e-12,1.466226760281457,173.03369272237197,148.0,P0,F3_Longitudinal
48,275,573,174,0.4627659574468085,0.3159984701785904,0.21457186989996727,0.14310388738303845,0.27300197750628363,1.3094654316773093e-12,1.464456322162796,173.01329787234042,150.0,P0,F3_Longitudinal
49,280,573,179,0.46981627296587924,0.32359062621322854,0.21617921397811127,0.13903028816187027,0.27490057358485565,1.1336665816818519e-12,1.4518846805416916,172.84251968503938,148.0,P0,F3_Longitudinal
50,286,573,183,0.4704370179948586,0.33281774305900164,0.20626938666929684,0.14552710868910881,0.2704055275625622,1.15374027711972e-11,1.4134974105375744,171.5012853470437,147.0,P0,F3_Longitudinal
1,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.004888549869008643,-0.004888549869008643,1.0,0.0,321.0,309.0,P0,F4_KelvinOp
2,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.010248200097362744,-0.010248200097362744,1.0,0.0,243.9090909090909,208.5,P0,F4_KelvinOp
3,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.015744274270294834,-0.015744274270294834,1.0,0.0,195.5,147.5,P0,F4_KelvinOp
4,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.020419102556176693,0.05424570982598258,1.0,0.0,200.5,157.5,P0,F4_KelvinOp
5,28,573,0,0.0,0.025477572909264095,-0.026143649649318874,-0.026143649649318874,0.03246121626316412,1.0,0.0,213.91071428571428,172.0,P0,F4_KelvinOp
6,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,-0.03199646093424275,0.049908020092284455,0.61515108602871,0.9773774697326696,221.5909090909091,184.0,P0,F4_KelvinOp
7,40,573,2,0.02564102564102564,0.03659167305736104,-0.011366569200296517,-0.03798147891609379,0.07734979651902774,0.7893552550834071,0.7007338965023768,216.62179487179486,181.0,P0,F4_KelvinOp
8,45,573,4,0.046511627906976744,0.041294420937402626,0.00544192824524438,-0.031353177177307553,0.07318608958606,0.4795287179350617,1.1263416909873316,219.5639534883721,184.0,P0,F4_KelvinOp
9,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,-0.028325710121847508,0.10395833559664742,0.15527433057773457,1.5679307748027485,224.73157894736843,184.0,P0,F4_KelvinOp
10,57,573,9,0.08571428571428572,0.05275760760908707,0.03479223308620452,-0.01730704978698331,0.09210144424671114,0.09792859132644674,1.624681057363225,229.38571428571427,189.0,P0,F4_KelvinOp
11,63,573,12,0.10526315789473684,0.05858458404020633,0.04958339651464139,0.00025381501886153165,0.11480806538128364,0.031330145861704996,1.7967723014384673,230.01315789473685,189.5,P0,F4_KelvinOp
12,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,-0.009851913199545405,0.1163082184098947,0.019621626725187958,1.8074363230209554,230.79508196721312,190.5,P0,F4_KelvinOp
13,74,573,16,0.12121212121212122,0.06943688706444504,0.055638605730186315,0.011454761663262316,0.12311159914146404,0.01754905291451037,1.745644517439601,226.54924242424244,189.5,P0,F4_KelvinOp
14,80,573,19,0.1347517730496454,0.07545075520425892,0.06414046431727682,0.014044269700603788,0.12849887435636262,0.007665405902021586,1.7859565843290477,218.41489361702128,184.0,P0,F4_KelvinOp
15,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,0.017492551706838496,0.13611900524657006,0.002673512516616943,1.8462396282410716,215.80067567567568,184.0,P0,F4_KelvinOp
16,91,573,27,0.17419354838709677,0.08665385984471832,0.09584503037095604,0.02529406618210439,0.12990053626344072,0.00019941112673079318,2.0102226109632912,212.0225806451613,184.0,P0,F4_KelvinOp
17,97,573,28,0.1686746987951807,0.09286367473140028,0.08357180938745129,0.024339069431151304,0.14901833382978422,0.0008645647200110193,1.8163689869376471,213.3855421686747,184.0,P0,F4_KelvinOp
18,103,573,30,0.17045454545454544,0.09914492971776269,0.07915770037731096,0.02266767246716389,0.15742701615643045,0.0014199583253178543,1.719246218034355,208.82386363636363,178.5,P0,F4_KelvinOp
19,108,573,32,0.17391304347826086,0.10443477276239174,0.07758035774811899,0.035855880613224804,0.13735825760575537,0.0016877206663233847,1.665279091227066,206.46195652173913,178.5,P0,F4_KelvinOp
