strategy,delta_type,point,ci95_low,ci95_high,n_boot,seed,panel,metric,budget_factor
disagreement_abstention,delta_m,0.26315789473684215,0.15789473684210525,0.39285714285714285,2000,2051,P0,F1_Frobenius,2.0
disagreement_abstention,delta_best,0.24561403508771934,0.07017543859649122,0.3508771929824561,2000,2051,P0,F1_Frobenius,2.0
minimax_oracle,delta_j,0.3333333333333333,0.23636363636363633,0.46551724137931033,2000,2051,P0,F1_Frobenius,2.0
minimax_oracle,delta_m,0.3508771929824561,0.23728813559322037,0.5172567733990148,2000,2051,P0,F1_Frobenius,2.0
minimax_oracle,delta_best,0.3333333333333333,0.21808441558441555,0.44067796610169485,2000,2051,P0,F1_Frobenius,2.0
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
jarvis_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
jarvis_only,delta_best,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
mp_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
mp_only,delta_best,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.0
average_percentile,delta_j,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
average_percentile,delta_m,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
average_percentile,delta_best,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
borda_count,delta_j,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
borda_count,delta_m,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
borda_count,delta_best,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
maximin_percentile,delta_j,0.21052631578947367,0.1111111111111111,0.2857142857142857,2000,2051,P0,F3_Longitudinal,1.0
maximin_percentile,delta_m,0.21052631578947367,0.1111111111111111,0.2857142857142857,2000,2051,P0,F3_Longitudinal,1.0
maximin_percentile,delta_best,0.21052631578947367,0.1111111111111111,0.2857142857142857,2000,2051,P0,F3_Longitudinal,1.0
intersection_first,delta_j,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
intersection_first,delta_m,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
intersection_first,delta_best,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
balanced_union,delta_j,0.3859649122807018,0.2981968810916179,0.4528730703259003,2000,2051,P0,F3_Longitudinal,1.0
balanced_union,delta_m,0.3859649122807018,0.2981968810916179,0.4528730703259003,2000,2051,P0,F3_Longitudinal,1.0
balanced_union,delta_best,0.3859649122807018,0.2981968810916179,0.4528730703259003,2000,2051,P0,F3_Longitudinal,1.0
disagreement_abstention,delta_j,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
disagreement_abstention,delta_m,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
disagreement_abstention,delta_best,0.3157894736842105,0.17857142857142858,0.3684210526315789,2000,2051,P0,F3_Longitudinal,1.0
minimax_oracle,delta_j,0.3157894736842105,0.25851880877742944,0.4067796610169491,2000,2051,P0,F3_Longitudinal,1.0
minimax_oracle,delta_m,0.3157894736842105,0.25851880877742944,0.4067796610169491,2000,2051,P0,F3_Longitudinal,1.0
minimax_oracle,delta_best,0.3157894736842105,0.25851880877742944,0.4067796610169491,2000,2051,P0,F3_Longitudinal,1.0
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.5
jarvis_only,delta_m,0.05263157894736842,-0.0892857142857143,0.13565166569257714,2000,2051,P0,F3_Longitudinal,1.5
jarvis_only,delta_best,0.0,-0.0892857142857143,0.0,2000,2051,P0,F3_Longitudinal,1.5
mp_only,delta_j,-0.05263157894736842,-0.13565166569257747,0.0892857142857143,2000,2051,P0,F3_Longitudinal,1.5
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,1.5
mp_only,delta_best,-0.05263157894736842,-0.13565166569257747,0.0,2000,2051,P0,F3_Longitudinal,1.5
average_percentile,delta_j,0.26315789473684215,0.13553672316384177,0.4035087719298246,2000,2051,P0,F3_Longitudinal,1.5
average_percentile,delta_m,0.31578947368421056,0.1817809239940387,0.41379310344827586,2000,2051,P0,F3_Longitudinal,1.5
average_percentile,delta_best,0.26315789473684215,0.1295707070707071,0.3793103448275862,2000,2051,P0,F3_Longitudinal,1.5
borda_count,delta_j,0.26315789473684215,0.13553672316384177,0.4035087719298246,2000,2051,P0,F3_Longitudinal,1.5
borda_count,delta_m,0.31578947368421056,0.1817809239940387,0.41379310344827586,2000,2051,P0,F3_Longitudinal,1.5
borda_count,delta_best,0.26315789473684215,0.1295707070707071,0.3793103448275862,2000,2051,P0,F3_Longitudinal,1.5
maximin_percentile,delta_j,0.17543859649122806,0.05357142857142855,0.29828947368421027,2000,2051,P0,F3_Longitudinal,1.5
maximin_percentile,delta_m,0.22807017543859648,0.08768148820326678,0.3090909090909091,2000,2051,P0,F3_Longitudinal,1.5
maximin_percentile,delta_best,0.17543859649122806,0.05260889292196007,0.2679067460317458,2000,2051,P0,F3_Longitudinal,1.5
intersection_first,delta_j,0.26315789473684215,0.13553672316384177,0.4035087719298246,2000,2051,P0,F3_Longitudinal,1.5
intersection_first,delta_m,0.31578947368421056,0.1817809239940387,0.41379310344827586,2000,2051,P0,F3_Longitudinal,1.5
intersection_first,delta_best,0.26315789473684215,0.1295707070707071,0.3793103448275862,2000,2051,P0,F3_Longitudinal,1.5
balanced_union,delta_j,0.5087719298245614,0.42366190900981265,0.6379310344827587,2000,2051,P0,F3_Longitudinal,1.5
balanced_union,delta_m,0.5614035087719298,0.4482758620689655,0.6545454545454545,2000,2051,P0,F3_Longitudinal,1.5
balanced_union,delta_best,0.5087719298245614,0.4181818181818182,0.6166666666666667,2000,2051,P0,F3_Longitudinal,1.5
disagreement_abstention,delta_j,0.26315789473684215,0.13553672316384177,0.4035087719298246,2000,2051,P0,F3_Longitudinal,1.5
disagreement_abstention,delta_m,0.31578947368421056,0.1817809239940387,0.41379310344827586,2000,2051,P0,F3_Longitudinal,1.5
disagreement_abstention,delta_best,0.26315789473684215,0.1295707070707071,0.3793103448275862,2000,2051,P0,F3_Longitudinal,1.5
minimax_oracle,delta_j,0.33333333333333337,0.24561403508771934,0.4642857142857143,2000,2051,P0,F3_Longitudinal,1.5
minimax_oracle,delta_m,0.3859649122807018,0.2768965517241379,0.47556162720097067,2000,2051,P0,F3_Longitudinal,1.5
minimax_oracle,delta_best,0.33333333333333337,0.24074074074074076,0.4385964912280702,2000,2051,P0,F3_Longitudinal,1.5
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,2.0
jarvis_only,delta_m,0.017543859649122806,-0.15796522556390977,0.14035087719298245,2000,2051,P0,F3_Longitudinal,2.0
jarvis_only,delta_best,0.0,-0.15796522556390977,0.0,2000,2051,P0,F3_Longitudinal,2.0
mp_only,delta_j,-0.017543859649122806,-0.14035087719298245,0.15796522556390938,2000,2051,P0,F3_Longitudinal,2.0
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F3_Longitudinal,2.0
mp_only,delta_best,-0.017543859649122806,-0.14035087719298245,0.0,2000,2051,P0,F3_Longitudinal,2.0
average_percentile,delta_j,0.2631578947368421,0.12280701754385964,0.4151715265866205,2000,2051,P0,F3_Longitudinal,2.0
average_percentile,delta_m,0.2807017543859649,0.1607142857142857,0.3833991228070172,2000,2051,P0,F3_Longitudinal,2.0
average_percentile,delta_best,0.2631578947368421,0.11864406779661019,0.35714285714285715,2000,2051,P0,F3_Longitudinal,2.0
borda_count,delta_j,0.2631578947368421,0.12280701754385964,0.4151715265866205,2000,2051,P0,F3_Longitudinal,2.0
borda_count,delta_m,0.2807017543859649,0.1607142857142857,0.3833991228070172,2000,2051,P0,F3_Longitudinal,2.0
borda_count,delta_best,0.2631578947368421,0.11864406779661019,0.3571428571428571,2000,2051,P0,F3_Longitudinal,2.0
maximin_percentile,delta_j,0.15789473684210525,0.018181818181818188,0.2857142857142857,2000,2051,P0,F3_Longitudinal,2.0
maximin_percentile,delta_m,0.17543859649122806,0.0357142857142857,0.26785714285714285,2000,2051,P0,F3_Longitudinal,2.0
maximin_percentile,delta_best,0.15789473684210525,0.0,0.23636363636363633,2000,2051,P0,F3_Longitudinal,2.0
intersection_first,delta_j,0.2631578947368421,0.12280701754385964,0.4151715265866205,2000,2051,P0,F3_Longitudinal,2.0
intersection_first,delta_m,0.2807017543859649,0.1607142857142857,0.3833991228070172,2000,2051,P0,F3_Longitudinal,2.0
intersection_first,delta_best,0.2631578947368421,0.11864406779661019,0.35714285714285715,2000,2051,P0,F3_Longitudinal,2.0
balanced_union,delta_j,0.6666666666666667,0.5555555555555556,0.8035714285714286,2000,2051,P0,F3_Longitudinal,2.0
balanced_union,delta_m,0.6842105263157895,0.537037037037037,0.8135593220338984,2000,2051,P0,F3_Longitudinal,2.0
balanced_union,delta_best,0.6666666666666667,0.5263157894736843,0.7637121212121208,2000,2051,P0,F3_Longitudinal,2.0
disagreement_abstention,delta_j,0.2631578947368421,0.12280701754385964,0.4151715265866205,2000,2051,P0,F3_Longitudinal,2.0
disagreement_abstention,delta_m,0.2807017543859649,0.1607142857142857,0.3833991228070172,2000,2051,P0,F3_Longitudinal,2.0
disagreement_abstention,delta_best,0.2631578947368421,0.11864406779661019,0.35714285714285715,2000,2051,P0,F3_Longitudinal,2.0
minimax_oracle,delta_j,0.3508771929824562,0.2586206896551725,0.4833333333333333,2000,2051,P0,F3_Longitudinal,2.0
minimax_oracle,delta_m,0.368421052631579,0.24063131313131314,0.49200819672131035,2000,2051,P0,F3_Longitudinal,2.0
minimax_oracle,delta_best,0.3508771929824562,0.23207699063231846,0.44642857142857145,2000,2051,P0,F3_Longitudinal,2.0
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
jarvis_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
jarvis_only,delta_best,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
mp_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
mp_only,delta_best,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.0
average_percentile,delta_j,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
average_percentile,delta_m,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
average_percentile,delta_best,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
borda_count,delta_j,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
borda_count,delta_m,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
borda_count,delta_best,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
maximin_percentile,delta_j,0.19298245614035087,0.1016949152542373,0.28577481840193675,2000,2051,P0,F4_KelvinOp,1.0
maximin_percentile,delta_m,0.19298245614035087,0.1016949152542373,0.28577481840193675,2000,2051,P0,F4_KelvinOp,1.0
maximin_percentile,delta_best,0.19298245614035087,0.1016949152542373,0.28577481840193675,2000,2051,P0,F4_KelvinOp,1.0
intersection_first,delta_j,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
intersection_first,delta_m,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
intersection_first,delta_best,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
balanced_union,delta_j,0.4210526315789474,0.29310344827586204,0.4545454545454545,2000,2051,P0,F4_KelvinOp,1.0
balanced_union,delta_m,0.4210526315789474,0.29310344827586204,0.4545454545454545,2000,2051,P0,F4_KelvinOp,1.0
balanced_union,delta_best,0.4210526315789474,0.29310344827586204,0.4545454545454545,2000,2051,P0,F4_KelvinOp,1.0
disagreement_abstention,delta_j,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
disagreement_abstention,delta_m,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
disagreement_abstention,delta_best,0.2982456140350877,0.15094339622641512,0.3684210526315789,2000,2051,P0,F4_KelvinOp,1.0
minimax_oracle,delta_j,0.2982456140350877,0.22580645161290325,0.4137931034482759,2000,2051,P0,F4_KelvinOp,1.0
minimax_oracle,delta_m,0.2982456140350877,0.22580645161290325,0.4137931034482759,2000,2051,P0,F4_KelvinOp,1.0
minimax_oracle,delta_best,0.2982456140350877,0.22580645161290325,0.4137931034482759,2000,2051,P0,F4_KelvinOp,1.0
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.5
jarvis_only,delta_m,0.05263157894736842,-0.08620689655172414,0.15524047186932813,2000,2051,P0,F4_KelvinOp,1.5
jarvis_only,delta_best,0.0,-0.08620689655172414,0.0,2000,2051,P0,F4_KelvinOp,1.5
mp_only,delta_j,-0.05263157894736842,-0.1552404718693285,0.08620689655172414,2000,2051,P0,F4_KelvinOp,1.5
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,1.5
mp_only,delta_best,-0.05263157894736842,-0.1552404718693285,0.0,2000,2051,P0,F4_KelvinOp,1.5
average_percentile,delta_j,0.2631578947368421,0.14035087719298245,0.3729343220338981,2000,2051,P0,F4_KelvinOp,1.5
average_percentile,delta_m,0.3157894736842105,0.16666666666666669,0.40985802107728325,2000,2051,P0,F4_KelvinOp,1.5
average_percentile,delta_best,0.2631578947368421,0.13333333333333336,0.35593220338983045,2000,2051,P0,F4_KelvinOp,1.5
borda_count,delta_j,0.2631578947368421,0.14061814692982455,0.3729343220338981,2000,2051,P0,F4_KelvinOp,1.5
borda_count,delta_m,0.3157894736842105,0.16666666666666669,0.40985802107728325,2000,2051,P0,F4_KelvinOp,1.5
borda_count,delta_best,0.2631578947368421,0.13333333333333336,0.3519538606403008,2000,2051,P0,F4_KelvinOp,1.5
maximin_percentile,delta_j,0.15789473684210525,0.03702020202020202,0.27118644067796605,2000,2051,P0,F4_KelvinOp,1.5
maximin_percentile,delta_m,0.21052631578947367,0.07142857142857145,0.2982456140350877,2000,2051,P0,F4_KelvinOp,1.5
maximin_percentile,delta_best,0.15789473684210525,0.03508771929824561,0.24561403508771928,2000,2051,P0,F4_KelvinOp,1.5
intersection_first,delta_j,0.2631578947368421,0.14035087719298245,0.3729343220338981,2000,2051,P0,F4_KelvinOp,1.5
intersection_first,delta_m,0.3157894736842105,0.16666666666666669,0.40985802107728325,2000,2051,P0,F4_KelvinOp,1.5
intersection_first,delta_best,0.2631578947368421,0.13333333333333336,0.35593220338983045,2000,2051,P0,F4_KelvinOp,1.5
balanced_union,delta_j,0.5263157894736843,0.4181818181818182,0.6167045454545452,2000,2051,P0,F4_KelvinOp,1.5
balanced_union,delta_m,0.5789473684210527,0.45,0.6491228070175439,2000,2051,P0,F4_KelvinOp,1.5
balanced_union,delta_best,0.5263157894736843,0.416627358490566,0.6000862068965513,2000,2051,P0,F4_KelvinOp,1.5
disagreement_abstention,delta_j,0.2631578947368421,0.14035087719298245,0.3729343220338981,2000,2051,P0,F4_KelvinOp,1.5
disagreement_abstention,delta_m,0.3157894736842105,0.16666666666666669,0.40985802107728325,2000,2051,P0,F4_KelvinOp,1.5
disagreement_abstention,delta_best,0.2631578947368421,0.13333333333333336,0.35593220338983045,2000,2051,P0,F4_KelvinOp,1.5
minimax_oracle,delta_j,0.28070175438596495,0.22807017543859653,0.44067796610169485,2000,2051,P0,F4_KelvinOp,1.5
minimax_oracle,delta_m,0.33333333333333337,0.2498975409836065,0.4655172413793104,2000,2051,P0,F4_KelvinOp,1.5
minimax_oracle,delta_best,0.28070175438596495,0.22033898305084743,0.41818181818181815,2000,2051,P0,F4_KelvinOp,1.5
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,2.0
jarvis_only,delta_m,0.017543859649122806,-0.12962962962962962,0.15791562238930654,2000,2051,P0,F4_KelvinOp,2.0
jarvis_only,delta_best,0.0,-0.12962962962962962,0.0,2000,2051,P0,F4_KelvinOp,2.0
mp_only,delta_j,-0.017543859649122806,-0.15791562238930665,0.12962962962962962,2000,2051,P0,F4_KelvinOp,2.0
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F4_KelvinOp,2.0
mp_only,delta_best,-0.017543859649122806,-0.15791562238930665,0.0,2000,2051,P0,F4_KelvinOp,2.0
average_percentile,delta_j,0.2631578947368421,0.1111111111111111,0.388912429378531,2000,2051,P0,F4_KelvinOp,2.0
average_percentile,delta_m,0.2807017543859649,0.1607142857142857,0.4,2000,2051,P0,F4_KelvinOp,2.0
average_percentile,delta_best,0.2631578947368421,0.1071428571428572,0.35195386064030076,2000,2051,P0,F4_KelvinOp,2.0
borda_count,delta_j,0.2631578947368421,0.1111111111111111,0.3888888888888889,2000,2051,P0,F4_KelvinOp,2.0
borda_count,delta_m,0.2807017543859649,0.1607142857142857,0.4,2000,2051,P0,F4_KelvinOp,2.0
borda_count,delta_best,0.2631578947368421,0.1071428571428572,0.35593220338983045,2000,2051,P0,F4_KelvinOp,2.0
maximin_percentile,delta_j,0.19298245614035087,0.051724137931034475,0.2857142857142857,2000,2051,P0,F4_KelvinOp,2.0
maximin_percentile,delta_m,0.21052631578947367,0.05555555555555558,0.3,2000,2051,P0,F4_KelvinOp,2.0
maximin_percentile,delta_best,0.19298245614035087,0.03448275862068967,0.25862068965517243,2000,2051,P0,F4_KelvinOp,2.0
intersection_first,delta_j,0.2631578947368421,0.1111111111111111,0.388912429378531,2000,2051,P0,F4_KelvinOp,2.0
intersection_first,delta_m,0.2807017543859649,0.1607142857142857,0.4,2000,2051,P0,F4_KelvinOp,2.0
intersection_first,delta_best,0.2631578947368421,0.1071428571428572,0.35195386064030076,2000,2051,P0,F4_KelvinOp,2.0
balanced_union,delta_j,0.6666666666666667,0.5356834975369458,0.7857142857142857,2000,2051,P0,F4_KelvinOp,2.0
