panel,metric,eval_mode,fold,strategy,budget_factor,is_primary,coverage_upper_bound,target_k,budget,n,disagreement_lambda,worst_source_recall,worst_source_ndcg,worst_source_normalized_utility,minimax_recall_regret,minimax_ndcg_regret,portfolio_size,portfolio_coverage,paired_diff_recall,paired_diff_recall_ci95_low,paired_diff_recall_ci95_high,material_paired_diff_recall,material_paired_diff_recall_ci95_low,material_paired_diff_recall_ci95_high,full_proc_delta_j_recall,full_proc_delta_j_recall_ci95_low,full_proc_delta_j_recall_ci95_high,full_proc_delta_m_recall,full_proc_delta_m_recall_ci95_low,full_proc_delta_m_recall_ci95_high,full_proc_delta_best_recall,full_proc_delta_best_recall_ci95_low,full_proc_delta_best_recall_ci95_high,baseline_strategy,n_test,paired_diff_ndcg,pareto_efficient
P0,F3_Longitudinal,full_panel,,average_percentile,1.0,True,False,57.0,57.0,573.0,,0.43859649122807015,0.9030748068924349,0.43859649122807015,0.5614035087719298,0.09692519310756509,57,0.09947643979057591,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,borda_count,1.0,True,False,57.0,57.0,573.0,,0.43859649122807015,0.9030748068924349,0.43859649122807015,0.5614035087719298,0.09692519310756509,57,0.09947643979057591,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,maximin_percentile,1.0,True,False,57.0,57.0,573.0,,0.3333333333333333,0.9031874423024356,0.3333333333333333,0.6666666666666667,0.09681255769756436,57,0.09947643979057591,0.014112903225806451,-0.016129032258064516,0.04435483870967742,0.21052631578947367,0.10344827586206896,0.3220338983050847,0.21052631578947367,0.1111111111111111,0.2857142857142857,0.21052631578947367,0.1111111111111111,0.2857142857142857,0.21052631578947367,0.1111111111111111,0.2857142857142857,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,intersection_first,1.0,True,False,57.0,57.0,573.0,,0.43859649122807015,0.9030748068924349,0.43859649122807015,0.5614035087719298,0.09692519310756509,57,0.09947643979057591,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,balanced_union,1.0,True,False,57.0,57.0,573.0,,0.5087719298245614,0.8970419315828854,0.5087719298245614,0.49122807017543857,0.10295806841711463,57,0.09947643979057591,0.014112903225806451,-0.012096774193548387,0.038306451612903226,0.3859649122807018,0.2413633461047254,0.5090994854202401,0.3859649122807018,0.2981968810916179,0.4528730703259003,0.3859649122807018,0.2981968810916179,0.4528730703259003,0.3859649122807018,0.2981968810916179,0.4528730703259003,jarvis_only,,,True
P0,F3_Longitudinal,full_panel,,disagreement_abstention,1.0,True,False,57.0,57.0,573.0,0.0,0.43859649122807015,0.9030748068924349,0.43859649122807015,0.5614035087719298,0.09692519310756509,57,0.09947643979057591,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,0.3157894736842105,0.17857142857142858,0.3684210526315789,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,minimax_oracle,1.0,True,False,57.0,57.0,573.0,,0.43859649122807015,0.9030748068924349,0.43859649122807015,0.5614035087719298,0.09692519310756509,57,0.09947643979057591,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105,0.3157894736842105,0.25851880877742944,0.4067796610169491,0.3157894736842105,0.25851880877742944,0.4067796610169491,0.3157894736842105,0.25851880877742944,0.4067796610169491,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,jarvis_only,1.5,False,False,57.0,86.0,573.0,,0.24561403508771928,0.6793726572671981,0.24561403508771928,0.7543859649122807,0.3206273427328019,86,0.15008726003490402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,-0.0892857142857143,0.13565166569257714,0.0,-0.0892857142857143,0.0,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,mp_only,1.5,False,False,57.0,86.0,573.0,,0.19298245614035087,0.6883874211867325,0.19298245614035087,0.8070175438596492,0.31161257881326754,86,0.15008726003490402,0.006048387096774193,-0.036290322580645164,0.04838709677419355,-0.05263157894736842,-0.16987638256343526,0.07547169811320753,-0.05263157894736842,-0.13565166569257747,0.0892857142857143,0.0,0.0,0.0,-0.05263157894736842,-0.13565166569257747,0.0,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,average_percentile,1.5,False,False,57.0,86.0,573.0,,0.5087719298245614,0.9063908056372508,0.5087719298245614,0.49122807017543857,0.09360919436274917,86,0.15008726003490402,0.014112903225806451,-0.018145161290322582,0.046370967741935484,0.26315789473684215,0.10709586466165409,0.3962345478204294,0.26315789473684215,0.13553672316384177,0.4035087719298246,0.31578947368421056,0.1817809239940387,0.41379310344827586,0.26315789473684215,0.1295707070707071,0.3793103448275862,jarvis_only,,,False
