analysis,panel,distance_metric,threshold_quantile,threshold_value,metric,n,tau,rho,nAUCC,n_excluded,boundary_count,nonidentical_space_group_count
continuous_threshold,P0,max_distance,0.75,0.03141097422277436,F1_Frobenius,430,0.24714033248429662,0.3548990930218221,0.08873831509520633,143,1,8
continuous_threshold,P0,max_distance,0.75,0.03141097422277436,F3_Longitudinal,430,0.2708666869172582,0.39592836577103613,0.09851152598180235,143,1,8
continuous_threshold,P0,max_distance,0.75,0.03141097422277436,F4_KelvinOp,430,0.2608016827927205,0.3764893915712136,0.0903351791127442,143,1,8
continuous_threshold,P0,max_distance,0.8,0.03595170694783179,F1_Frobenius,458,0.26824909941926484,0.3839409609269199,0.10227729330777365,115,0,10
continuous_threshold,P0,max_distance,0.8,0.03595170694783179,F3_Longitudinal,458,0.2881613133632652,0.4205978561126804,0.10736567448770909,115,0,10
continuous_threshold,P0,max_distance,0.8,0.03595170694783179,F4_KelvinOp,458,0.2805186863263016,0.4040188348612795,0.1039030092718062,115,0,10
continuous_threshold,P0,max_distance,0.8500000000000001,0.04369854099835381,F1_Frobenius,487,0.26160879525779274,0.37428076790021203,0.10281602077387456,86,0,15
continuous_threshold,P0,max_distance,0.8500000000000001,0.04369854099835381,F3_Longitudinal,487,0.282472380598682,0.4109621305717877,0.10819127851958829,86,0,15
continuous_threshold,P0,max_distance,0.8500000000000001,0.04369854099835381,F4_KelvinOp,487,0.2735746216705143,0.39412297001711727,0.10352279671827756,86,0,15
continuous_threshold,P0,max_distance,0.9,0.05774897936352312,F1_Frobenius,515,0.2621770388720052,0.3745216462038735,0.10464259533636587,58,0,19
continuous_threshold,P0,max_distance,0.9,0.05774897936352312,F3_Longitudinal,515,0.2841839818275961,0.4125064220496481,0.11086847221579697,58,0,19
continuous_threshold,P0,max_distance,0.9,0.05774897936352312,F4_KelvinOp,515,0.2759587305317803,0.39634276729587725,0.10604593909042226,58,0,19
continuous_threshold,P0,max_distance,0.95,0.09155352701246121,F1_Frobenius,544,0.25886917400797976,0.37043159624189426,0.10663962257893268,29,0,24
continuous_threshold,P0,max_distance,0.95,0.09155352701246121,F3_Longitudinal,544,0.2827459997669898,0.4100128580186388,0.1130323439176913,29,0,24
continuous_threshold,P0,max_distance,0.95,0.09155352701246121,F4_KelvinOp,544,0.27253306794886967,0.39173042258293395,0.10832245089291326,29,0,24
continuous_threshold,P0,max_distance,1.0,0.29752547126844847,F1_Frobenius,573,0.2453490536947952,0.35033868277455305,0.1050746995817334,0,1,40
continuous_threshold,P0,max_distance,1.0,0.29752547126844847,F3_Longitudinal,573,0.26857345047318515,0.3882567435586633,0.11016248011534203,0,1,40
continuous_threshold,P0,max_distance,1.0,0.29752547126844847,F4_KelvinOp,573,0.255259681075164,0.3655405146817598,0.10572407600228573,0,1,40
continuous_threshold,P0,lattice_distance,0.5,0.0044214256442210815,F1_Frobenius,287,0.2043203333606819,0.28535633913618313,0.07230461929789225,286,1,4
continuous_threshold,P0,lattice_distance,0.5,0.0044214256442210815,F3_Longitudinal,287,0.23484936302740403,0.33982362527359755,0.06658132598567565,286,1,4
continuous_threshold,P0,lattice_distance,0.5,0.0044214256442210815,F4_KelvinOp,287,0.22488638718971177,0.3178680553872318,0.06810469580293695,286,1,4
continuous_threshold,P0,lattice_distance,0.55,0.006168297802995891,F1_Frobenius,315,0.2055507810630315,0.29073797945292723,0.07318952879866958,258,0,4
continuous_threshold,P0,lattice_distance,0.55,0.006168297802995891,F3_Longitudinal,315,0.23801656794073767,0.34697681595196256,0.0684924608025162,258,0,4
continuous_threshold,P0,lattice_distance,0.55,0.006168297802995891,F4_KelvinOp,315,0.22852231940908205,0.3241385168615696,0.07188115933317571,258,0,4
continuous_threshold,P0,lattice_distance,0.6,0.008190839104639764,F1_Frobenius,344,0.2068363463845722,0.291894473278393,0.0725015077238181,229,0,6
