q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
5.0,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,-0.0746469906789501,0.05967400591301485,P0,F3_Longitudinal
6.0,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,-0.08407073430981388,0.08262305249794916,P0,F3_Longitudinal
7.0,40,573,3,0.03896103896103896,0.03659167305736104,0.0024593579247929767,-0.08999838265322412,0.09491709850281006,P0,F3_Longitudinal
8.0,45,573,5,0.058823529411764705,0.041294420937402626,0.01828414151037035,-0.07621913741465655,0.11278742043539725,P0,F3_Longitudinal
9.0,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,-0.07235356159455554,0.12836510851780836,P0,F3_Longitudinal
10.0,57,573,7,0.06542056074766354,0.05275760760908707,0.013368228914052508,-0.09435656450916297,0.12109302233726799,P0,F3_Longitudinal
11.0,63,573,10,0.08620689655172414,0.05858458404020633,0.02934125790085587,-0.08676455644697692,0.14544707224868866,P0,F3_Longitudinal
12.0,68,573,11,0.088,0.06348998130614933,0.026171656687703947,-0.09590682886310209,0.14825014223851,P0,F3_Longitudinal
13.0,74,573,14,0.1044776119402985,0.06943688706444504,0.037655398531018465,-0.08367435994998387,0.1589851570120208,P0,F3_Longitudinal
14.0,80,573,18,0.1267605633802817,0.07545075520425892,0.05549710679538605,-0.06550134329954421,0.17649555689031632,P0,F3_Longitudinal
15.0,85,573,20,0.13333333333333333,0.08051427689820931,0.05744412893866841,-0.06245962990596702,0.17734788778330385,P0,F3_Longitudinal
16.0,91,573,24,0.1518987341772152,0.08665385984471832,0.07143499212839978,-0.04971227248144143,0.19258225673824098,P0,F3_Longitudinal
17.0,97,573,26,0.15476190476190477,0.09286367473140028,0.06823476064876649,-0.05673353264702344,0.19320305394455642,P0,F3_Longitudinal
