q_percentile,n,k,observed_overlap,min_overlap,max_overlap,expected_jaccard,observed_jaccard,min_jaccard,max_jaccard,observed_adjusted_jaccard,min_adjusted_jaccard,max_adjusted_jaccard,bounds_exact,tie_ambiguous,left_cutoff_score,left_next_score,left_absolute_gap,left_relative_gap,left_tie_block_size,left_optional_needed,right_cutoff_score,right_next_score,right_absolute_gap,right_relative_gap,right_tie_block_size,right_optional_needed,hypergeometric_pvalue,panel,metric
39.0,573,223,122,122,122,0.24191586374086366,0.3765432098765432,0.3765432098765432,0.3765432098765432,0.17758892410018695,0.17758892410018695,0.17758892410018695,True,False,0.45680690088920506,0.4543327058445165,0.002474195044688543,0.005416282109294666,1,1,0.7613902395618155,0.7604494508797116,0.0009407886821038991,0.001235619572225313,1,1,5.576233371711573e-10,P0,F1_Frobenius
40.0,573,229,127,127,127,0.25003509898592313,0.38368580060422963,0.38368580060422963,0.38368580060422963,0.17820927544420892,0.17820927544420892,0.17820927544420892,True,False,0.4489613010048861,0.44796266842226934,0.0009986325826167874,0.002224317731576422,1,1,0.7452409243101626,0.7427681348737073,0.002472789436455347,0.00331810741438321,1,1,5.652004218471523e-10,P0,F1_Frobenius
41.0,573,234,132,132,132,0.256882726086866,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.18297840938921767,0.18297840938921767,0.18297840938921767,True,False,0.43216632492594786,0.4281047376518975,0.004061587274050371,0.009398203977939114,1,1,0.7199124937207216,0.7105620893349136,0.009350404385808031,0.012988251304658381,1,1,2.4808961084997284e-10,P0,F1_Frobenius
42.0,573,240,136,136,136,0.26519963409964514,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.1771218539748339,0.1771218539748339,0.1771218539748339,True,False,0.4113653663107773,0.4093565531416347,0.002008813169142587,0.004883282195480146,1,1,0.7042137479487318,0.7035673062477906,0.0006464417009411916,0.0009179623414399087,1,1,9.107808645975056e-10,P0,F1_Frobenius
43.0,573,246,144,144,144,0.2736274229346693,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.19296664678600597,0.19296664678600597,0.19296664678600597,True,False,0.3952963242935608,0.39299698713857845,0.0022993371549823727,0.0058167430701298525,1,1,0.6943870489143645,0.6900561745408867,0.004330874373477789,0.006236974581033545,1,1,4.5493193843259534e-11,P0,F1_Frobenius
44.0,573,252,148,148,148,0.28216832632827377,0.4157303370786517,0.4157303370786517,0.4157303370786517,0.18606313380852232,0.18606313380852232,0.18606313380852232,True,False,0.37507964514220177,0.37278006961209714,0.002299575530104625,0.006130899290023591,1,1,0.673789999999999,0.6728112290234154,0.0009787709765836095,0.0014526350592671468,1,1,2.175432770931879e-10,P0,F1_Frobenius
45.0,573,257,153,153,153,0.28937380606327734,0.42382271468144045,0.42382271468144045,0.42382271468144045,0.1891977945160505,0.1891977945160505,0.1891977945160505,True,False,0.36742346141747667,0.36699333454437566,0.00043012687310101105,0.001170657070840365,1,1,0.6518529463000065,0.6277423895197775,0.024110556780228998,0.036987723867911215,1,1,1.3500761486465633e-10,P0,F1_Frobenius
46.0,573,263,159,159,159,0.2981280897313316,0.4332425068119891,0.4332425068119891,0.4332425068119891,0.19250580498219014,0.19250580498219014,0.19250580498219014,True,False,0.3591697618118764,0.35816,0.0010097618118763974,0.0028113775691542874,1,1,0.5880341076803044,0.5824727639442476,0.0055613437360567675,0.00945751898303201,1,1,8.381022067113559e-11,P0,F1_Frobenius
47.0,573,269,165,165,165,0.3070021521112328,0.44235924932975873,0.44235924932975873,0.44235924932975873,0.1953210931763991,0.1953210931763991,0.1953210931763991,True,False,0.3495730201259817,0.3495102064318008,6.281369418087435e-05,0.000179686905351669,1,1,0.5606274357701703,0.5590264720911097,0.0016009636790605963,0.0028556641664553013,1,1,5.7853766402989775e-11,P0,F1_Frobenius
48.0,573,275,168,168,168,0.3159984701785904,0.4397905759162304,0.4397905759162304,0.4397905759162304,0.1809822059461792,0.1809822059461792,0.1809822059461792,True,False,0.33938998467839326,0.337358820545721,0.0020311641326722363,0.005984749769787615,1,1,0.5404608965615199,0.5394416099495245,0.0010192866119953514,0.0018859581118267407,1,1,1.1572402951212976e-09,P0,F1_Frobenius
